"","logFC","logCPM","F","PValue","FDR"
"GHR",-0.0394165177035018,1.65291246208316,0.0290793841478252,0.866192420946293,0.971281988518711
"CAPG",0.0168806699341363,6.62481742967385,0.0290379168624185,0.86628689751987,0.971281988518711
"ITGA2",0.0370107453878667,5.53224896088458,0.0289998122499221,0.866373774079858,0.971281988518711
"LDLRAP1",-0.0527976585556238,5.46045232930871,0.0289656280998553,0.866451762242233,0.971281988518711
"DYNLT5",0.0611332117824692,1.06205642370258,0.0289456019647444,0.866497472151229,0.971281988518711
"MIR548A1HG",0.116375142364326,-0.676615169315912,0.0289308990848091,0.866531042033977,0.971281988518711
"MIR4435-2HG",-0.0166830260106,5.63307709624254,0.0288787931933571,0.866650081966427,0.971281988518711
"SPIN2B",0.026667567119266,2.77109276601242,0.0288602987176587,0.866692360624247,0.971281988518711
"CCDC127",-0.0126156489861089,5.68062781499334,0.0288564944717934,0.866701058919557,0.971281988518711
"ALAD",0.0164716174861565,5.53867404230743,0.0287853600515229,0.866863814571578,0.971281988518711
"TF",-0.0665258767473541,0.0715753610578816,0.0287585818846327,0.866925136715938,0.971281988518711
"DCK",-0.0313273271491523,4.05527074538814,0.0287439137896036,0.866958739197899,0.971281988518711
"RUSC1-AS1",0.0769786272965247,0.796090208637419,0.0287309644077062,0.866988411697396,0.971281988518711
"ZNF790",0.0253720838245485,2.49476546497315,0.028694621108481,0.867071726346331,0.971281988518711
"LOC100129434",0.0899321880522724,-0.373099021996825,0.0286344234637661,0.867209845171781,0.971281988518711
"CCDC169",0.0911189358611736,-0.709418699465043,0.028617107372361,0.86724960328691,0.971281988518711
"ATP8B2",0.0204591221779276,5.86317305500029,0.0286143516104436,0.867255931717594,0.971281988518711
"YBX3",-0.0442531635729448,4.97631905274646,0.0286091122742695,0.867267964383077,0.971281988518711
"DNM2",-0.0726247014298859,5.16865479676026,0.0285395465099418,0.867427836880734,0.971383522749629
"CNRIP1",-0.032056197681553,4.31140913765623,0.0283874614781405,0.867778051264895,0.971698176919004
"ZNF528-AS1",-0.0292451599577535,0.197769418692588,0.028098543650779,0.868446028549694,0.972293547569651
"RPL39P38",0.0529663325330751,0.0168302013964363,0.0280744405934647,0.868501914192792,0.972293547569651
"GNPDA1",-0.0171231415179973,5.9656814601008,0.0280548436299873,0.868547370154943,0.972293547569651
"ACVR2B",0.0816329353811045,-0.233860158585678,0.0280162512644196,0.86863693453582,0.972293547569651
"KDM6B",0.0681933655789049,0.723219250004647,0.0279708270883516,0.868742435431613,0.972293547569651
"C1QBP",0.0696009911660795,4.80871667845699,0.0279485395041074,0.868794232183137,0.972293547569651
"GMPPB",-0.044111262423956,5.20794747703597,0.0279204916061642,0.868859446224313,0.972293547569651
"LOC105374003",-0.0669617248322881,1.12572372269029,0.0278980173066539,0.86891172544945,0.972293547569651
"VPS72",-0.0137990223190377,5.20114878232106,0.0278887728499515,0.868933235993312,0.972293547569651
"PTPN2",0.0202136761437659,3.44172980132809,0.0277841017118236,0.869177047349564,0.972409343332454
"SMG1",-0.0342535634441089,4.38616516546173,0.0277262891522015,0.869311913252893,0.972409343332454
"RAB3D",0.12920653649484,0.0815386296421268,0.0277219774988942,0.869321977329784,0.972409343332454
